City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
0,0,Khatanga,RU,71.97,102.5,35.73,95,100,14.09,light snow,0.0,0.0
1,1,Alyangula,AU,-13.85,136.42,62.6,100,100,10.13,overcast clouds,0.0,0.0
2,2,Ndioum,SN,16.51,-14.65,111.2,14,70,4.7,broken clouds,0.0,0.0
3,3,Bati,ET,11.18,40.02,74.86,40,21,4.05,few clouds,0.0,0.0
4,4,Tacuati,PY,-23.45,-56.58,80.73,32,0,3.98,clear sky,0.0,0.0
5,5,Luanda,AO,-8.84,13.23,77.0,88,40,5.82,scattered clouds,0.0,0.0
6,6,San Cristobal,VE,7.77,-72.22,86.0,62,40,10.29,scattered clouds,0.0,0.0
7,7,Longyearbyen,SJ,78.22,15.64,39.2,80,75,8.05,shower rain,0.0,0.0
8,8,Kahului,US,20.89,-156.47,80.6,57,20,14.99,few clouds,0.0,0.0
9,9,Ribeira Grande,PT,38.52,-28.7,64.4,55,20,14.99,few clouds,0.0,0.0
10,10,Biak,ID,-0.91,122.88,78.22,79,73,5.01,broken clouds,0.0,0.0
11,11,Felipe Carrillo Puerto,MX,19.58,-88.05,94.28,47,100,7.99,overcast clouds,0.0,0.0
12,12,Portland,US,45.52,-122.68,81.0,36,1,5.82,clear sky,0.0,0.0
13,13,Dhola,IN,21.88,71.78,84.02,72,0,17.54,clear sky,0.0,0.0
14,14,Tautira,PF,-17.73,-149.15,82.4,74,20,12.59,few clouds,0.0,0.0
15,15,Sao Filipe,CV,14.9,-24.5,78.28,66,0,8.05,clear sky,0.0,0.0
16,16,Port Elizabeth,ZA,-33.92,25.57,63.5,64,98,11.59,overcast clouds,0.0,0.0
17,17,Eyl,SO,7.98,49.82,83.21,75,100,19.1,overcast clouds,0.0,0.0
18,18,Port Hardy,CA,50.7,-127.42,55.4,82,75,5.82,broken clouds,0.0,0.0
19,19,Cheremukhovo,RU,60.35,59.99,50.27,77,0,8.14,clear sky,0.0,0.0
20,20,Arraial Do Cabo,BR,-22.97,-42.03,71.6,82,75,12.75,broken clouds,0.0,0.0
21,21,Clyde River,CA,70.47,-68.59,30.2,86,75,21.92,light snow,0.0,0.0
22,22,Isla Mujeres,MX,21.23,-86.73,87.8,70,75,16.11,broken clouds,0.0,0.0
23,23,Heihe,CN,50.24,127.49,64.4,42,17,8.95,few clouds,0.0,0.0
24,24,Pangody,RU,65.85,74.49,55.6,47,98,16.93,overcast clouds,0.0,0.0
25,25,Dikson,RU,73.51,80.55,32.13,99,100,10.0,overcast clouds,0.0,0.0
26,26,Isangel,VU,-19.55,169.27,71.6,88,20,9.04,few clouds,0.0,0.0
27,27,Aktau,KZ,43.65,51.2,68.0,77,16,6.71,few clouds,0.0,0.0
28,28,Hithadhoo,MV,-0.6,73.08,79.02,87,100,19.86,light rain,0.0,0.0
29,29,Port Lincoln,AU,-34.73,135.87,54.52,69,0,12.73,clear sky,0.0,0.0
30,30,Tomatlan,MX,19.93,-105.25,87.78,45,0,11.88,clear sky,0.0,0.0
31,31,Mayo,US,38.89,-76.51,75.99,94,90,13.87,light rain,0.0,0.0
32,32,Kyra,RU,49.58,111.98,44.58,84,99,7.0,overcast clouds,0.0,0.0
33,33,New Norfolk,AU,-42.78,147.06,52.0,91,100,3.74,light rain,0.0,0.0
34,34,Ponta Pora,BR,-22.54,-55.73,73.4,38,0,11.41,clear sky,0.0,0.0
35,35,Yuancheng,CN,36.65,107.79,60.64,33,6,4.85,clear sky,0.0,0.0
36,36,Mahebourg,MU,-20.41,57.7,75.2,83,40,12.75,scattered clouds,0.0,0.0
37,37,Praia,CV,14.92,-23.51,84.2,58,0,11.41,clear sky,0.0,0.0
38,38,Cockburn Town,TC,21.46,-71.14,81.27,80,100,14.5,overcast clouds,0.0,0.0
39,39,Novoorsk,RU,51.38,58.98,75.2,47,0,11.18,clear sky,0.0,0.0
40,40,Kihei,US,20.79,-156.47,80.6,57,20,14.99,few clouds,0.0,0.0
41,41,Qiyang,CN,26.59,111.85,73.83,71,90,1.57,overcast clouds,0.0,0.0
42,42,La Ronge,CA,55.1,-105.28,44.6,75,90,12.75,light rain,0.0,0.0
43,43,Kungurtug,RU,50.6,97.52,31.19,94,94,1.92,overcast clouds,0.0,0.0
44,44,Comarapa,BO,-17.9,-64.48,69.49,49,10,6.31,clear sky,0.0,0.0
45,45,Jamestown,US,42.1,-79.24,71.01,94,90,5.82,light rain,0.0,0.0
46,46,Klaksvik,FO,62.23,-6.59,48.2,100,100,9.17,mist,0.0,0.0
47,47,Severo-Kurilsk,RU,50.68,156.12,37.98,91,100,19.15,light rain,0.0,0.0
48,48,Cidreira,BR,-30.18,-50.21,64.38,64,0,6.67,clear sky,0.0,0.0
49,49,Tasiilaq,GL,65.61,-37.64,35.6,93,90,27.51,light intensity shower rain,0.0,0.0
50,50,Ardakan,IR,32.31,54.02,84.2,13,0,2.24,clear sky,0.0,0.0
51,51,Ryde,GB,50.73,-1.16,66.0,71,0,14.16,clear sky,0.0,0.0
52,52,Hermanus,ZA,-34.42,19.23,55.99,95,100,10.0,overcast clouds,0.0,0.0
53,53,Itarema,BR,-2.92,-39.92,82.49,81,48,11.5,light rain,0.0,0.0
54,54,Puerto Ayora,EC,-0.74,-90.35,80.6,69,75,10.29,broken clouds,0.0,0.0
55,55,Luderitz,,-26.65,15.16,57.2,67,0,8.05,clear sky,0.0,0.0
56,56,Ulu-Telyak,RU,54.91,56.97,50.9,94,0,4.09,clear sky,0.0,0.0
57,57,Entebbe,UG,0.06,32.45,75.2,78,20,3.36,few clouds,0.0,0.0
58,58,Matadi,CD,-5.82,13.45,77.9,81,88,6.53,light rain,0.0,0.0
59,59,Ornskoldsvik,SE,63.29,18.72,51.8,50,3,19.46,clear sky,0.0,0.0
60,60,Long Beach,US,33.77,-118.19,72.0,82,20,12.75,mist,0.0,0.0
61,61,Bethel,US,41.37,-73.41,73.99,78,90,10.29,overcast clouds,0.0,0.0
62,62,Aquiraz,BR,-3.9,-38.39,86.0,70,20,13.87,few clouds,0.0,0.0
63,63,Jackson,US,42.42,-122.83,84.0,44,1,2.93,clear sky,0.0,0.0
64,64,Pacific Grove,US,36.62,-121.92,79.0,82,22,7.85,few clouds,0.0,0.0
65,65,Nikolayevsk-Na-Amure,RU,53.14,140.73,37.9,84,22,3.65,few clouds,0.0,0.0
66,66,Srednekolymsk,RU,67.45,153.68,48.74,47,0,20.13,clear sky,0.0,0.0
67,67,Trofors,NO,65.53,13.41,44.6,87,75,6.93,light rain,0.0,0.0
68,68,Hamilton,US,39.18,-84.53,82.99,61,40,12.75,scattered clouds,0.0,0.0
