City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Tacuati,PY,80.73,clear sky,-23.45,-56.58,
Luanda,AO,77.0,scattered clouds,-8.84,13.23,EPIC SANA Luanda
San Cristobal,VE,86.0,scattered clouds,7.77,-72.22,Pirineos
Kahului,US,80.6,few clouds,20.89,-156.47,Maui Seaside Hotel
Biak,ID,78.22,broken clouds,-0.91,122.88,Kost Ariz
Portland,US,81.0,clear sky,45.52,-122.68,Portland Marriott City Center
Dhola,IN,84.02,clear sky,21.88,71.78,નિલેશ
Tautira,PF,82.4,few clouds,-17.73,-149.15,Pension Oaoa
Sao Filipe,CV,78.28,clear sky,14.9,-24.5,Tortuga B&B
Eyl,SO,83.21,overcast clouds,7.98,49.82,Amiin Hotel
Isla Mujeres,MX,87.8,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
Hithadhoo,MV,79.02,light rain,-0.6,73.08,Scoop Guest House
Tomatlan,MX,87.78,clear sky,19.93,-105.25,Norma franco
Mayo,US,75.99,light rain,38.89,-76.51,Resorts Resource Group International
Mahebourg,MU,75.2,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
Praia,CV,84.2,clear sky,14.92,-23.51,LT Aparthotel
Cockburn Town,TC,81.27,overcast clouds,21.46,-71.14,Osprey Beach Hotel
Novoorsk,RU,75.2,clear sky,51.38,58.98,Gostevoi dom >
Kihei,US,80.6,few clouds,20.79,-156.47,Maui Sunset
Ardakan,IR,84.2,clear sky,32.31,54.02,Ardakan Hotel
Itarema,BR,82.49,light rain,-2.92,-39.92,Windvillage
Puerto Ayora,EC,80.6,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
Entebbe,UG,75.2,few clouds,0.06,32.45,WB APARTMENT
Matadi,CD,77.9,light rain,-5.82,13.45,Hotel Fortune
Aquiraz,BR,86.0,few clouds,-3.9,-38.39,Pousada Rua Camurupim
Jackson,US,84.0,clear sky,42.42,-122.83,Agate Village Apartments
Pacific Grove,US,79.0,few clouds,36.62,-121.92,Lovers Point Inn
Hamilton,US,82.99,scattered clouds,39.18,-84.53,Six Acres Bed & Breakfast
Souillac,MU,75.2,scattered clouds,-20.52,57.52,Bils' Villa
Acapulco,MX,82.4,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
Chapais,CA,84.2,broken clouds,49.78,-74.85,Hôtel Opémiska
Kokopo,PG,76.44,clear sky,-4.35,152.26,Kokopo Beach Bungalow Resort
Namatanai,PG,78.87,light rain,-3.67,152.43,Namatanai Hotel
Mitu,CO,87.42,light rain,1.2,-70.17,
La Rioja,ES,82.4,clear sky,42.25,-2.5,Casa Concejos
Yanam,IN,83.32,broken clouds,16.73,82.22,The Regency Hotel
Martinsville,US,81.0,scattered clouds,36.69,-79.87,Hampton Inn Martinsville
Keffi,NG,83.12,light rain,8.85,7.87,Imam Family
Kintampo,GH,82.04,overcast clouds,8.06,-1.73,Adomaa Memorial Hotel
Avera,US,86.0,broken clouds,33.19,-82.53,
Cayenne,GF,77.0,mist,4.93,-52.33,Hôtel Le Dronmi
Cabo San Lucas,MX,84.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
Bubaque,GW,78.82,scattered clouds,11.28,-15.83,Casa Dora
Lorengau,PG,80.82,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
Tiznit,MA,75.47,clear sky,29.58,-9.5,
Port Blair,IN,84.2,light rain,11.67,92.75,Hotel Sentinel
Kapaa,US,78.8,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
Nouakchott,MR,78.8,dust,18.09,-15.98,Hôtel Iman
Broome,US,75.0,overcast clouds,42.25,-75.83,Chenango Valley State Park
Zhanaozen,KZ,79.66,overcast clouds,43.3,52.8,K.korabay 28A
Ixtapa,MX,82.99,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
Yarada,IN,87.8,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
Porto Novo,BJ,79.23,heavy intensity rain,6.5,2.6,Tour Eiffel Hotel Benin
Sibolga,ID,79.45,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
Mineros,BO,80.6,few clouds,-17.12,-63.23,Residencial Imperial
Awbari,LY,83.25,overcast clouds,26.59,12.78,فندق أوباري
Makakilo City,US,80.6,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
Puerto Gaitan,CO,87.58,clear sky,4.31,-72.08,Brisas del Yucao
Puerto Carreno,CO,86.0,shower rain,6.19,-67.49,Casa Hotel Victoria
Bonfim,BR,87.33,moderate rain,3.08,-59.95,
Banda Aceh,ID,80.8,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
Vanimo,PG,76.87,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
Dumka,IN,84.24,clear sky,24.27,87.25,"Hotel Shashwat , Sri Shyam Plaza ,Dumka"
Aitape,PG,76.84,overcast clouds,-3.14,142.35,
Kandrian,PG,77.22,moderate rain,-6.22,149.55,
Guerrero Negro,MX,76.53,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
Sungairaya,ID,78.93,overcast clouds,0.7,108.9,808 artel
Manta,EC,86.0,scattered clouds,-0.95,-80.73,Balandra Hotel
Kafanchan,NG,76.41,broken clouds,9.58,8.3,Metro Guest
Paratinga,BR,86.49,few clouds,-12.69,-43.18,Pousada Magalhães 2
Port-Gentil,GA,82.4,scattered clouds,-0.72,8.78,Fengshui Residence
Lata,PT,81.0,broken clouds,40.16,-8.33,Casa Maquia
Moengo,SR,81.46,light rain,5.62,-54.4,Masanga
Ishigaki,JP,79.74,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
Marawi,PH,75.0,scattered clouds,8.0,124.29,Derogongan Residence
Pacifica,US,75.0,few clouds,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
Aripuana,BR,86.4,scattered clouds,-9.17,-60.63,
