City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
0,Khatanga,RU,71.97,102.5,35.69,95,100,13.15,light snow,0.0,0.0
1,Sorland,NO,67.67,12.69,46.4,93,75,13.87,light intensity shower rain,0.0,0.0
2,Sint-Gillis-Waas,BE,51.23,4.12,69.01,50,0,5.99,clear sky,0.0,0.0
3,Kodiak,US,57.79,-152.41,57.2,41,40,12.75,scattered clouds,0.0,0.0
4,Xichang,CN,27.9,102.26,53.44,78,91,1.57,overcast clouds,0.0,0.0
5,Asyut,EG,27.18,31.18,82.4,30,0,12.75,clear sky,0.0,0.0
6,Tiksi,RU,71.69,128.87,26.37,96,60,4.81,broken clouds,0.0,0.0
7,Hualmay,PE,-11.1,-77.61,71.31,67,43,6.22,scattered clouds,0.0,0.0
8,Camana,PE,-16.62,-72.71,69.3,68,23,5.19,few clouds,0.0,0.0
9,Kenora,CA,49.82,-94.43,53.6,62,75,14.99,broken clouds,0.0,0.0
10,Deogarh,IN,21.53,84.73,77.72,72,0,4.47,clear sky,0.0,0.0
11,Kavieng,PG,-2.57,150.8,81.54,78,58,5.53,moderate rain,0.0,0.0
12,Yaan,NG,7.38,8.57,84.13,73,90,4.88,overcast clouds,0.0,0.0
13,Kerman,IR,30.28,57.08,78.8,14,0,9.17,clear sky,0.0,0.0
14,Yellowknife,CA,62.46,-114.35,44.6,42,20,6.93,few clouds,0.0,0.0
15,Riohacha,CO,11.54,-72.91,88.66,61,100,11.01,overcast clouds,0.0,0.0
16,Qasigiannguit,GL,68.82,-51.19,35.6,64,75,6.93,broken clouds,0.0,0.0
17,Mount Gambier,AU,-37.83,140.77,46.4,100,40,10.29,scattered clouds,0.0,0.0
18,Atuona,PF,-9.8,-139.03,80.69,73,11,10.83,few clouds,0.0,0.0
19,New Norfolk,AU,-42.78,147.06,53.01,90,97,3.98,light rain,0.0,0.0
20,Roma,US,43.21,-75.46,78.01,69,90,8.05,overcast clouds,0.0,0.0
21,Kahului,US,20.89,-156.47,77.0,65,1,8.05,clear sky,0.0,0.0
22,Shieli,KZ,44.17,66.75,78.06,18,0,12.95,clear sky,0.0,0.0
23,Asfi,MA,32.3,-9.24,69.44,83,47,6.42,scattered clouds,0.0,0.0
24,Lorengau,PG,-2.02,147.27,80.62,80,100,5.84,overcast clouds,0.0,0.0
25,Faanui,PF,-16.48,-151.75,81.52,78,26,15.77,scattered clouds,0.0,0.0
26,Faya,SA,18.39,42.45,73.4,53,20,5.82,few clouds,0.0,0.0
27,Najran,SA,17.49,44.13,89.6,15,0,6.93,clear sky,0.0,0.0
28,Usinsk,RU,65.99,57.53,48.79,75,87,13.82,overcast clouds,0.0,0.0
29,Codrington,AU,-38.27,141.97,46.81,92,51,10.67,broken clouds,0.0,0.0
30,Shelburne,CA,44.08,-80.2,71.6,88,75,4.7,moderate rain,0.0,0.0
31,Geraldton,AU,-28.77,114.6,60.8,72,75,13.87,broken clouds,0.0,0.0
32,Itacare,BR,-14.28,-39.0,80.6,65,40,11.41,scattered clouds,0.0,0.0
33,Khuzdar,PK,27.74,66.64,83.26,15,0,11.83,clear sky,0.0,0.0
34,Kaitangata,NZ,-46.28,169.85,45.0,86,76,4.34,broken clouds,0.0,0.0
35,Guerrero Negro,MX,27.98,-114.06,75.06,51,0,12.1,clear sky,0.0,0.0
36,Gorontalo,ID,0.54,123.06,76.44,86,92,2.71,light rain,0.0,0.0
37,Puerto Ayora,EC,-0.74,-90.35,80.6,69,75,10.29,broken clouds,0.0,0.0
38,Iqaluit,CA,63.75,-68.51,26.6,68,75,11.41,broken clouds,0.0,0.0
39,Komsomolskiy,UZ,40.43,71.72,73.4,46,90,6.93,thunderstorm with light rain,0.0,0.0
40,Ramhormoz,IR,31.28,49.6,98.6,13,0,9.17,clear sky,0.0,0.0
41,Vaitape,PF,-16.52,-151.75,82.36,76,23,15.7,few clouds,0.0,0.0
42,Cabo San Lucas,MX,22.89,-109.91,82.99,54,5,8.05,clear sky,0.0,0.0
