City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
0,Narsaq,GL,60.92,-46.05,44.6,65,20,9.17,few clouds,0.0,0.0
1,Mayumba,GA,-3.43,10.66,78.69,82,47,10.07,light rain,0.0,0.0
2,Vaini,TO,-21.2,-175.2,69.8,94,20,3.36,few clouds,0.0,0.0
3,Puerto Quijarro,BO,-17.78,-57.77,80.4,39,0,4.07,clear sky,0.0,0.0
4,Carnarvon,AU,-24.87,113.63,66.87,46,0,11.03,clear sky,0.0,0.0
5,Fort William,GB,56.82,-5.11,69.01,61,82,1.99,broken clouds,0.0,0.0
6,Cockburn Town,TC,21.46,-71.14,84.2,70,75,9.17,broken clouds,0.0,0.0
7,Jaisinghnagar,IN,23.7,81.38,92.52,17,49,4.72,scattered clouds,0.0,0.0
8,Cape Town,ZA,-33.93,18.42,61.0,100,90,14.99,moderate rain,0.0,0.0
9,Ushuaia,AR,-54.8,-68.3,37.4,79,40,5.26,scattered clouds,0.0,0.0
10,Mataura,NZ,-46.19,168.86,42.15,95,63,2.66,broken clouds,0.0,0.0
11,Qaanaaq,GL,77.48,-69.36,31.21,92,97,4.74,overcast clouds,0.0,0.0
12,Lerwick,GB,60.15,-1.15,57.2,93,75,6.93,mist,0.0,0.0
13,Haines Junction,CA,60.75,-137.51,52.32,54,0,1.95,clear sky,0.0,0.0
14,Talnakh,RU,69.49,88.4,39.2,69,75,8.95,broken clouds,0.0,0.0
15,Sept-Iles,CA,50.2,-66.38,57.99,76,75,5.82,broken clouds,0.0,0.0
16,Touros,BR,-5.2,-35.46,84.2,79,40,11.41,scattered clouds,0.0,0.0
17,Torbay,CA,47.67,-52.73,60.8,67,75,13.87,broken clouds,0.0,0.0
18,Jalu,LY,29.03,21.55,81.66,21,7,14.76,clear sky,0.0,0.0
19,Mayo,US,38.89,-76.51,73.99,94,90,12.75,overcast clouds,0.0,0.0
20,Port Hedland,AU,-20.32,118.57,66.2,77,75,5.82,broken clouds,0.0,0.0
21,Sitka,US,57.05,-135.33,55.4,54,75,5.82,broken clouds,0.0,0.0
22,Bastos,BR,-21.92,-50.73,69.57,45,0,8.03,clear sky,0.0,0.0
23,Poum,NC,-20.23,164.02,75.67,78,67,11.45,broken clouds,0.0,0.0
24,Brae,GB,60.4,-1.35,57.2,82,75,11.41,broken clouds,0.0,0.0
25,Pacific Grove,US,36.62,-121.92,55.4,93,90,2.01,overcast clouds,0.0,0.0
26,Chokurdakh,RU,70.63,147.92,47.7,50,100,15.03,overcast clouds,0.0,0.0
27,Rikitea,PF,-23.12,-134.97,76.37,85,76,10.71,light rain,0.0,0.0
28,Sorland,NO,67.67,12.69,44.6,81,75,11.41,shower rain,0.0,0.0
29,Murovani Kurylivtsi,UA,48.72,27.52,59.0,74,100,15.01,light rain,0.0,0.0
30,Norman Wells,CA,65.28,-126.83,42.8,56,5,5.82,clear sky,0.0,0.0
31,Atuona,PF,-9.8,-139.03,80.64,70,7,11.25,clear sky,0.0,0.0
32,Phalaborwa,ZA,-23.94,31.14,73.4,38,0,10.29,clear sky,0.0,0.0
33,Dire,ML,12.28,-10.97,101.12,25,85,1.92,overcast clouds,0.0,0.0
34,Acambay,MX,19.96,-99.84,66.76,25,0,4.18,clear sky,0.0,0.0
35,Bluff,NZ,-46.6,168.33,47.77,90,41,10.96,light rain,0.0,0.0
36,Tautira,PF,-17.73,-149.15,77.0,83,0,2.24,clear sky,0.0,0.0
37,Batagay-Alyta,RU,67.8,130.41,24.98,96,100,14.38,snow,0.0,0.0
38,Thompson,CA,55.74,-97.86,33.8,92,90,12.75,light rain,0.0,0.0
39,Nikolskoye,RU,59.7,30.79,59.0,67,75,13.42,broken clouds,0.0,0.0
40,Qaqortoq,GL,60.72,-46.03,44.6,65,20,9.17,few clouds,0.0,0.0
41,Bethel,US,41.37,-73.41,71.01,94,90,5.82,overcast clouds,0.0,0.0
42,Katsuura,JP,35.13,140.3,66.2,72,75,10.29,broken clouds,0.0,0.0
43,Pisco,PE,-13.7,-76.22,66.99,82,90,2.24,overcast clouds,0.0,0.0
44,Najran,SA,17.49,44.13,95.0,14,0,8.05,clear sky,0.0,0.0
45,Luderitz,NA,-26.65,15.16,73.4,38,3,14.99,clear sky,0.0,0.0
46,Butaritari,KI,3.07,172.79,82.22,80,0,10.92,clear sky,0.0,0.0
47,Georgetown,MY,5.41,100.34,86.0,79,20,5.46,few clouds,0.0,0.0
48,Tiksi,RU,71.69,128.87,24.35,95,32,3.18,scattered clouds,0.0,0.0
49,San Luis Rio Colorado,MX,32.46,-114.78,84.2,26,1,13.02,clear sky,0.0,0.0
50,Jamestown,US,42.1,-79.24,68.0,93,90,6.93,mist,0.0,0.0
51,Santiago Del Estero,AR,-27.8,-64.26,69.48,41,0,9.31,clear sky,0.0,0.0
52,Spencer,US,43.14,-95.14,66.2,59,75,12.75,broken clouds,0.0,0.0
53,Qostanay,KZ,53.17,63.58,73.4,49,36,11.18,scattered clouds,0.0,0.0
54,Mahebourg,MU,-20.41,57.7,77.0,78,40,12.75,shower rain,0.0,0.0
55,Kapaa,US,22.08,-159.32,75.2,83,75,11.41,broken clouds,0.0,0.0
56,Lavrentiya,RU,65.58,-171.0,32.32,97,100,6.76,overcast clouds,0.0,0.0
57,Chicama,PE,-7.84,-79.15,74.61,64,19,6.6,few clouds,0.0,0.0
58,Barrow,US,71.29,-156.79,28.4,92,75,3.36,broken clouds,0.0,0.0
59,Lebu,CL,-37.62,-73.65,54.09,62,33,16.67,scattered clouds,0.0,0.0
60,Longyearbyen,SJ,78.22,15.64,41.0,80,75,6.93,broken clouds,0.0,0.0
61,Hannibal,US,39.71,-91.36,72.0,83,40,6.93,scattered clouds,0.0,0.0
62,Cabo San Lucas,MX,22.89,-109.91,78.01,67,0,11.27,clear sky,0.0,0.0
63,Roald,NO,62.58,6.13,53.6,58,10,12.75,clear sky,0.0,0.0
64,Ribeira Grande,PT,38.52,-28.7,64.4,55,40,8.05,scattered clouds,0.0,0.0
65,Yellowknife,CA,62.46,-114.35,37.4,55,20,8.05,few clouds,0.0,0.0
66,Ranong,TH,9.97,98.63,82.63,80,96,5.06,overcast clouds,0.0,0.0
67,Gushikawa,JP,26.35,127.87,75.2,83,90,4.7,overcast clouds,0.0,0.0
68,Punta Arenas,CL,-53.15,-70.92,33.8,74,100,8.05,overcast clouds,0.0,0.0
69,Hithadhoo,MV,-0.6,73.08,84.16,72,36,8.43,light rain,0.0,0.0
70,Hermanus,ZA,-34.42,19.23,57.0,94,100,10.0,light rain,0.0,0.0
71,Esperance,AU,-33.87,121.9,57.2,67,0,12.75,clear sky,0.0,0.0
72,Preobrazheniye,RU,42.9,133.91,55.29,71,81,6.73,broken clouds,0.0,0.0
73,Nome,US,64.5,-165.41,37.0,100,75,0.87,broken clouds,0.0,0.0
74,Moyale,KE,3.52,39.06,73.06,78,98,9.57,overcast clouds,0.0,0.0
75,Ashqelon,IL,31.67,34.57,75.2,50,20,12.75,few clouds,0.0,0.0
76,Shingu,JP,33.73,135.98,60.78,44,86,6.51,overcast clouds,0.0,0.0
77,Busselton,AU,-33.65,115.33,62.01,75,33,18.5,light rain,0.0,0.0
78,Albany,US,42.6,-73.97,77.0,67,80,6.91,broken clouds,0.0,0.0
79,Zhangye,CN,38.93,100.45,67.55,26,0,6.71,clear sky,0.0,0.0
80,Belmonte,BR,-15.86,-38.88,77.0,61,40,8.05,scattered clouds,0.0,0.0
81,Beloha,MG,-25.17,45.05,68.9,75,92,10.31,overcast clouds,0.0,0.0
82,Shu,KZ,43.6,73.76,77.0,67,0,10.0,clear sky,0.0,0.0
83,Hobart,AU,-42.88,147.33,55.99,62,90,6.93,overcast clouds,0.0,0.0
84,Fairbanks,US,64.84,-147.72,51.01,86,1,4.7,clear sky,0.0,0.0
85,Bay Saint Louis,US,30.31,-89.33,82.99,69,1,5.82,clear sky,0.0,0.0
86,Kalanguy,RU,51.02,116.52,51.75,84,100,5.23,light rain,0.0,0.0
87,Altamira,BR,-3.2,-52.21,85.55,71,40,3.38,light rain,0.0,0.0
88,Goryachiy Klyuch,RU,44.63,39.13,82.99,58,20,6.71,few clouds,0.0,0.0
89,Miedzychod,PL,52.6,15.9,62.6,82,99,3.36,overcast clouds,0.0,0.0
90,Bom Jesus,BR,-9.07,-44.36,88.27,52,50,4.81,scattered clouds,0.0,0.0
91,Severo-Kurilsk,RU,50.68,156.12,37.83,94,100,19.51,moderate rain,0.0,0.0
92,Leningradskiy,RU,69.38,178.42,33.4,91,95,5.5,overcast clouds,0.0,0.0
93,Kaliua,TZ,-5.06,31.79,79.38,58,59,3.53,broken clouds,0.0,0.0
94,Coquimbo,CL,-29.95,-71.34,60.8,63,75,4.7,broken clouds,0.0,0.0
95,Dedza,MW,-14.38,34.33,63.25,85,9,3.38,light rain,0.0,0.0
96,Redmond,US,47.67,-122.12,62.01,80,100,3.2,overcast clouds,0.0,0.0
97,Bredasdorp,ZA,-34.53,20.04,69.8,70,100,14.99,overcast clouds,0.0,0.0
98,Bengbu,CN,32.94,117.36,79.18,38,98,7.65,overcast clouds,0.0,0.0
99,Minab,IR,27.15,57.08,104.0,29,0,16.11,clear sky,0.0,0.0
100,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,33.8,87,75,1.05,broken clouds,0.0,0.0
101,Terrace,CA,54.52,-128.6,46.4,93,90,3.36,light rain,0.0,0.0
102,Selestat,FR,48.26,7.46,75.2,38,0,14.99,clear sky,0.0,0.0
103,Mason City,US,43.15,-93.2,64.99,88,75,11.41,broken clouds,0.0,0.0
104,Faanui,PF,-16.48,-151.75,81.34,79,21,14.61,light rain,0.0,0.0
105,Leh,IN,34.17,77.58,51.12,43,59,5.7,broken clouds,0.0,0.0
106,Muravlenko,RU,63.79,74.52,59.95,44,83,14.09,broken clouds,0.0,0.0
107,Hilo,US,19.73,-155.09,73.4,83,75,3.36,broken clouds,0.0,0.0
108,Komsomolskiy,UZ,40.43,71.72,86.0,22,75,11.41,light thunderstorm,0.0,0.0
109,Arraial Do Cabo,BR,-22.97,-42.03,71.6,68,75,11.41,broken clouds,0.0,0.0
110,Chuy,UY,-33.7,-53.46,63.82,62,0,5.77,clear sky,0.0,0.0
111,Dickinson,US,29.46,-95.05,84.0,82,14,4.0,light rain,0.0,0.0
112,Arlit,NE,18.74,7.39,104.2,12,100,5.79,overcast clouds,0.0,0.0
113,Ilulissat,GL,69.22,-51.1,35.6,64,75,6.93,broken clouds,0.0,0.0
114,Hofn,IS,64.25,-15.21,50.0,87,75,16.11,haze,0.0,0.0
115,Kaeo,NZ,-35.1,173.78,57.0,3,91,4.0,light rain,0.0,0.0
116,Avarua,CK,-21.21,-159.78,77.0,83,70,8.05,broken clouds,0.0,0.0
117,Puerto Ayora,EC,-0.74,-90.35,75.2,83,75,5.82,broken clouds,0.0,0.0
118,Bongandanga,CD,1.5,21.05,89.6,53,98,1.1,overcast clouds,0.0,0.0
119,Bambanglipuro,ID,-7.95,110.28,76.33,89,100,4.5,overcast clouds,0.0,0.0
120,New Norfolk,AU,-42.78,147.06,52.0,81,93,4.23,overcast clouds,0.0,0.0
121,Santa Marta,CO,11.24,-74.2,80.01,82,100,2.1,light rain,0.0,0.0
122,Ningyang,CN,35.76,116.79,78.3,35,39,13.53,scattered clouds,0.0,0.0
123,Cidreira,BR,-30.18,-50.21,65.62,47,0,3.42,clear sky,0.0,0.0
124,Makakilo City,US,21.35,-158.09,73.4,93,90,8.05,overcast clouds,0.0,0.0
125,Les Cayes,HT,18.2,-73.75,85.8,63,100,7.0,light rain,0.0,0.0
126,Port Alfred,ZA,-33.59,26.89,69.01,59,88,1.01,overcast clouds,0.0,0.0
127,Japura,ID,-0.32,102.35,77.88,94,35,2.84,scattered clouds,0.0,0.0
128,Antofagasta,CL,-23.65,-70.4,64.4,63,75,4.7,broken clouds,0.0,0.0
129,Khatanga,RU,71.97,102.5,34.97,86,100,12.48,overcast clouds,0.0,0.0
130,Pampa,US,35.54,-100.96,71.6,43,1,12.75,clear sky,0.0,0.0
131,Castro,BR,-24.79,-50.01,63.54,44,0,3.6,clear sky,0.0,0.0
132,Camacha,PT,33.08,-16.33,71.6,68,20,14.99,few clouds,0.0,0.0
133,Chulym,RU,55.1,80.96,55.0,71,25,5.95,scattered clouds,0.0,0.0
134,Sobolevo,RU,54.43,31.9,62.8,73,100,4.9,light rain,0.0,0.0
135,Pachino,IT,36.72,15.09,75.0,50,2,8.01,clear sky,0.0,0.0
136,Tasiilaq,GL,65.61,-37.64,37.4,86,90,14.99,light intensity shower rain,0.0,0.0
137,Upernavik,GL,72.79,-56.15,29.12,96,77,2.51,broken clouds,0.0,0.0
138,Hasaki,JP,35.73,140.83,64.4,82,75,8.05,broken clouds,0.0,0.0
139,Chernoyerkovskaya,RU,45.43,37.77,66.2,72,20,13.42,few clouds,0.0,0.0
140,Port Elizabeth,ZA,-33.92,25.57,71.6,49,100,13.87,overcast clouds,0.0,0.0
141,Sakhon Nakhon,TH,17.16,104.15,78.4,87,81,6.51,heavy intensity rain,0.0,0.0
142,Buraydah,SA,26.33,43.98,105.8,15,0,9.17,clear sky,0.0,0.0
143,Lompoc,US,34.64,-120.46,55.4,100,90,2.84,mist,0.0,0.0
144,Vao,NC,-22.67,167.48,73.29,83,30,12.44,scattered clouds,0.0,0.0
145,Dapaong,TG,10.86,0.2,95.9,33,26,7.67,scattered clouds,0.0,0.0
146,Kasempa,ZM,-13.46,25.83,77.38,33,4,3.06,clear sky,0.0,0.0
147,Baherden,TM,38.44,57.43,96.96,14,0,6.22,clear sky,0.0,0.0
148,Bengkulu,ID,-3.8,102.27,78.21,88,100,4.56,light rain,0.0,0.0
149,Fortuna,US,40.6,-124.16,55.99,100,90,2.93,overcast clouds,0.0,0.0
150,Kahului,US,20.89,-156.47,71.01,68,1,3.36,clear sky,0.0,0.0
151,Geraldton,AU,-28.77,114.6,60.8,72,75,6.93,broken clouds,0.0,0.0
152,Paamiut,GL,61.99,-49.67,34.7,88,84,16.96,broken clouds,0.0,0.0
153,Krasnoselkup,RU,65.7,82.47,54.23,49,95,7.78,overcast clouds,0.0,0.0
154,Xinan,CN,26.72,119.86,68.38,90,25,1.66,scattered clouds,0.0,0.0
155,Hualmay,PE,-11.1,-77.61,69.55,70,25,5.3,scattered clouds,0.0,0.0
156,Khorramshahr,IR,30.44,48.17,113.0,4,0,9.17,clear sky,0.0,0.0
157,Mirabad,AF,30.44,61.84,96.58,12,0,27.36,clear sky,0.0,0.0
158,Slavsk,RU,55.04,21.68,60.03,80,97,11.63,light rain,0.0,0.0
159,Kavieng,PG,-2.57,150.8,81.59,78,83,4.03,moderate rain,0.0,0.0
160,Riyadh,SA,24.69,46.72,105.8,7,0,9.17,clear sky,0.0,0.0
161,Rovaniemi,FI,66.5,25.72,55.4,32,100,10.29,overcast clouds,0.0,0.0
162,Tevaitoa,PF,-16.78,-151.5,81.99,77,12,14.52,light rain,0.0,0.0
163,Victoria Point,AU,-27.58,153.3,64.99,82,8,1.01,light rain,0.0,0.0
164,Berdigestyakh,RU,62.1,126.7,35.69,81,97,11.74,overcast clouds,0.0,0.0
165,Libourne,FR,44.92,-0.25,90.0,30,11,10.29,few clouds,0.0,0.0
166,Chake Chake,TZ,-5.25,39.77,78.84,84,0,9.04,light rain,0.0,0.0
