City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bambous Virieux,MU,2020-05-27 12:17:35,-20.34,57.76,79.0,74,40,11.41
1,Yerbogachen,RU,2020-05-27 12:17:35,61.28,108.01,45.01,76,88,12.41
2,Port Lincoln,AU,2020-05-27 12:17:35,-34.73,135.87,55.17,83,23,6.2
3,New Norfolk,AU,2020-05-27 12:17:36,-42.78,147.06,48.0,85,72,2.62
4,Ulverstone,AU,2020-05-27 12:17:36,-41.15,146.17,55.0,77,93,3.0
5,Lewistown,US,2020-05-27 12:17:36,40.6,-77.57,68.0,100,20,2.53
6,Port Alfred,ZA,2020-05-27 12:17:36,-33.59,26.89,61.0,58,100,5.99
7,Punta Arenas,CL,2020-05-27 12:17:36,-53.15,-70.92,37.4,93,75,10.29
8,Bonavista,CA,2020-05-27 12:17:36,48.65,-53.11,45.0,79,99,4.0
9,Paamiut,GL,2020-05-27 12:17:36,61.99,-49.67,35.02,95,100,4.43
10,Flin Flon,CA,2020-05-27 12:15:35,54.77,-101.86,53.6,76,90,4.7
11,Vaini,TO,2020-05-27 12:17:37,-21.2,-175.2,75.2,88,75,5.82
12,Albany,US,2020-05-27 12:17:37,42.6,-73.97,69.01,74,6,3.13
13,De-Kastri,RU,2020-05-27 12:17:37,51.47,140.78,44.26,92,100,4.0
14,Geraldton,AU,2020-05-27 12:17:37,-28.77,114.6,60.8,82,75,3.36
15,Butaritari,KI,2020-05-27 12:15:08,3.07,172.79,81.57,77,68,8.66
16,Zhoucheng,CN,2020-05-27 12:17:37,35.91,116.31,75.31,21,99,7.7
17,Puerto Ayora,EC,2020-05-27 12:17:38,-0.74,-90.35,73.0,94,100,6.33
18,Port Hedland,AU,2020-05-27 12:15:08,-20.32,118.57,68.0,52,0,8.05
19,Rikitea,PF,2020-05-27 12:17:38,-23.12,-134.97,75.9,81,14,9.73
20,Gornopravdinsk,RU,2020-05-27 12:17:38,60.05,69.9,65.89,40,48,2.06
21,Ushuaia,AR,2020-05-27 12:13:12,-54.8,-68.3,41.0,85,70,8.05
22,Zhigansk,RU,2020-05-27 12:17:38,66.77,123.37,39.99,76,27,21.32
23,Aasiaat,GL,2020-05-27 12:17:38,68.71,-52.87,31.91,93,6,7.65
24,Tawang,IN,2020-05-27 12:17:38,27.58,91.87,53.04,72,100,2.08
25,Khorixas,NA,2020-05-27 12:17:38,-20.37,14.97,84.78,13,0,11.86
26,Mataura,NZ,2020-05-27 12:17:39,-46.19,168.86,39.67,93,0,1.81
27,Chimoio,MZ,2020-05-27 12:17:39,-19.12,33.48,86.0,37,20,6.35
28,Bonthe,SL,2020-05-27 12:17:39,7.53,-12.51,84.27,74,99,6.91
29,Tynda,RU,2020-05-27 12:17:39,55.17,124.72,60.44,46,0,5.75
30,Avera,US,2020-05-27 12:17:39,33.19,-82.53,69.8,91,90,5.82
31,Kantunilkin,MX,2020-05-27 12:17:39,21.09,-87.45,82.0,88,40,9.17
32,Atuona,PF,2020-05-27 12:15:08,-9.8,-139.03,81.07,72,6,7.74
33,Bluff,NZ,2020-05-27 12:17:39,-46.6,168.33,46.54,88,59,4.56
34,Barrow,US,2020-05-27 12:12:40,71.29,-156.79,30.2,86,90,3.36
35,Saint-Philippe,RE,2020-05-27 12:17:40,-21.36,55.77,80.6,65,1,9.17
36,Qaanaaq,GL,2020-05-27 12:17:40,77.48,-69.36,29.5,92,49,4.0
37,Kaitangata,NZ,2020-05-27 12:17:40,-46.28,169.85,46.0,90,28,1.01
38,Hami,CN,2020-05-27 12:17:40,42.8,93.45,87.66,12,0,10.16
39,Khatanga,RU,2020-05-27 12:17:40,71.97,102.5,32.68,88,100,13.06
40,Kendari,ID,2020-05-27 12:17:40,-3.94,122.5,77.47,89,89,2.98
41,Georgetown,MY,2020-05-27 12:15:37,5.41,100.34,87.8,74,20,6.93
42,Nanortalik,GL,2020-05-27 12:17:41,60.14,-45.24,39.47,86,50,8.77
43,Camacha,PT,2020-05-27 12:17:41,33.08,-16.33,68.0,68,20,11.41
44,Adre,TD,2020-05-27 12:17:41,13.47,22.2,98.82,9,0,3.98
45,Cockburn Town,TC,2020-05-27 12:17:41,21.46,-71.14,81.0,80,80,13.62
46,Gdov,RU,2020-05-27 12:17:41,58.74,27.81,62.22,55,18,5.55
47,Dioknisi,GE,2020-05-27 12:17:41,41.63,42.39,78.8,57,56,8.05
48,Comodoro Rivadavia,AR,2020-05-27 12:14:33,-45.87,-67.5,48.2,56,0,16.11
49,Bethel,US,2020-05-27 12:15:34,41.37,-73.41,62.01,100,90,3.65
50,Jamestown,US,2020-05-27 12:16:34,42.1,-79.24,66.99,82,1,12.75
51,Verkhnevilyuysk,RU,2020-05-27 12:17:42,63.45,120.32,53.35,65,100,5.41
52,Tasiilaq,GL,2020-05-27 12:17:43,65.61,-37.64,39.2,84,75,14.99
53,Sivaki,RU,2020-05-27 12:17:43,52.63,126.75,63.88,39,0,9.6
54,Alugan,PH,2020-05-27 12:17:43,12.22,125.48,82.74,81,2,9.51
55,Dong Hoi,VN,2020-05-27 12:17:43,17.48,106.6,79.47,87,99,2.66
56,Puente De Ixtla,MX,2020-05-27 12:17:43,18.61,-99.32,68.0,27,5,0.83
